row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,1685365277_ALC_dbgi_BK00.mzML Peak area,1685365277_ALC_dbgi_001152_01_01.mzML Peak area,1685365277_ALC_dbgi_001175_01_01.mzML Peak area,1685365277_ALC_dbgi_001162_01_01.mzML Peak area,1685365277_ALC_dbgi_001161_01_01.mzML Peak area,1685365277_ALC_dbgi_001146_01_02.mzML Peak area,1685365277_ALC_dbgi_001144_01_01.mzML Peak area,1685365277_ALC_dbgi_001142_01_01.mzML Peak area,1685365277_ALC_dbgi_001153_01_01.mzML Peak area,1685365277_ALC_dbgi_001185_01_01.mzML Peak area,1685365277_ALC_dbgi_001182_01_01.mzML Peak area,
1,680.1973215981578,1.925838,,,,,,,,,,,0,27428.701,4799.8726,0,0,0,0,0,0,1485.2947,2267.191,
2,466.1551452067695,1.9288809,,,,,,,,,,,0,0,0,0,14207.544,0,0,0,0,0,0,
3,474.1730439893733,1.9287788,,,,,,,,,,,0,0,0,0,8629.52,0,747.9729,0,0,2427.2383,0,
4,436.1388975502516,1.9318798,,,,,,,,,,,0,17815.146,0,0,0,0,0,0,0,21459.49,0,
5,524.1974506784896,1.9367732,,,,,,,,,,,0,4319.057,27644.887,0,0,827.0496,0,135.20612,0,239.35953,4294.7007,
6,393.05818967524976,1.9375993,,,,,,,,,,,0,0,0,0,0,108504.18,0,0,0,0,0,
7,636.2157864990139,1.9416085,,,,,,,,,,,0,0,0,9968.4795,0,0,0,0,0,0,0,
8,219.02717970080357,1.9418112,,,,,,,,,,,0,0,0,232.88388,0,0,0,24621.705,0,0,0,
9,373.0776265734015,1.9447373,,,,41,1,[M+H]+,,1,10,372.07043,0,46737.406,0,127818.805,0,0,0,0,0,0,0,
10,390.1043298522312,1.9447373,,,,41,1,[M+NH4]+,,2,9;10,372.07043,0,58429.902,0,156807.38,0,0,0,0,0,0,0,
11,714.2252217903177,1.9469118,,,,,,,,,,,0,1221.4233,0,103238.336,0,55484.758,0,0,88001.39,0,0,
12,508.20290245676955,1.9484252,,,,,,,,,,,0,3379.42,14826.582,0,279.89215,2172.389,0,0,0,753.355,3866.3271,
13,449.141914733272,1.9480865,,,,,,,,,,,0,0,0,0,0,0,0,29767.03,0,0,0,
14,424.1447229928051,1.9489701,,,,,,,,,,,0,5392.908,0,0,0,23405.516,0,0,0,0,0,
15,188.03849719687827,1.9526271,,,,,,,,,,,0,0,0,12537.137,0,0,0,0,0,0,0,
16,522.1820758771157,1.9551078,,,,,,,,,,,0,36013.85,0,75724.25,0,0,4314.22,11542.786,186809.89,0,66058.85,
17,286.1762314118152,1.9589899,,,,,,,,,,,0,0,127.49711,0,0,0,0,0,0,0,55355.734,
18,381.07962863739704,1.9599928,,,,,,,,,,,0,0,9689.545,5729.465,155589.83,10290.238,3854.8657,141401.95,0,0,0,
19,294.06072934980483,1.9672972,,,,,,,,,,,0,0,0,0,3597.3447,0,26594.223,41331.977,0,0,0,
20,506.1876821847527,1.9711335,,,,,,,,,,,0,28678.836,18737.523,0,111.42456,0,681.62823,0,0,0,3706.7495,
21,803.1874801808109,1.9686927,,,,,,,,,,,0,0,0,0,0,12127.156,0,4278.4824,0,0,0,
22,327.04784444038455,1.9777844,,,,,,,,,,,0,0,0,0,0,0,0,0,0,84315.58,0,
23,184.0371507172091,1.980672,,,,,,,,,,,0,0,0,0,19756.955,0,1334.6372,66.48001,0,0,0,
